Post URL,Count,Likes or Views,Comment Number,Type
https://www.instagram.com/p/CRRVVVhBukB/,12500.0,likes,186,comments
https://www.instagram.com/p/CROyCt6IxMN/,10500.0,likes,178,comments
https://www.instagram.com/p/CQ92IA3Bc9P/,15600.0,likes,271,comments
https://www.instagram.com/p/CQ6WYDvBisK/,21000.0,likes,426,comments
https://www.instagram.com/p/CQ49z7NhVam/,46300.0,likes,953,comments
https://www.instagram.com/p/CQ3kDcrBxhS/,63100.0,likes,795,comments
https://www.instagram.com/p/CQyk99PB2CI/,38200.0,likes,671,comments
https://www.instagram.com/p/CQxTemLhd-v/,50500.0,likes,1309,comments
https://www.instagram.com/p/CQv7froBXbk/,34700.0,likes,424,comments
https://www.instagram.com/p/CQsAQzYh0V0/,27300.0,likes,147,comments
https://www.instagram.com/p/CQrOXylhjbN/,25100.0,likes,347,comments
https://www.instagram.com/p/CQq0rCKB3Tm/,58500.0,likes,981,comments
https://www.instagram.com/p/CQpKA8gBsSQ/,18700.0,likes,217,comments
https://www.instagram.com/p/CQlzeiYhahR/,68500.0,likes,853,comments
https://www.instagram.com/p/CQjAYAwhcKt/,24700.0,likes,195,comments
https://www.instagram.com/p/CQgdRuvhAdG/,19300.0,likes,467,comments
https://www.instagram.com/p/CQeQvzuBv5M/,28600.0,likes,572,comments
https://www.instagram.com/p/CQctECBh9V5/,46800.0,likes,705,comments
https://www.instagram.com/p/CQb-azABM3p/,35400.0,likes,1349,comments
https://www.instagram.com/p/CQZRt3qB57s/,33400.0,likes,426,comments
https://www.instagram.com/p/CQU68uXBKMt/,98300.0,likes,1001,comments
https://www.instagram.com/p/CQU41AIBL3e/,30200.0,likes,171,comments
https://www.instagram.com/p/CQTrjUwhcpf/,32600.0,likes,503,comments
https://www.instagram.com/p/CQMcOwOhxYl/,20900.0,likes,294,comments
https://www.instagram.com/p/CQL8pSihPZh/,44000.0,likes,744,comments
https://www.instagram.com/p/CQJTkU4hyht/,58200.0,likes,295,comments
https://www.instagram.com/p/CQG0qPAB9IN/,20900.0,likes,155,comments
https://www.instagram.com/p/CP_cHv9hojg/,33100.0,likes,313,comments
https://www.instagram.com/p/CP6nzNvhOIz/,37100.0,likes,339,comments
https://www.instagram.com/p/CP4v-w9BvEL/,43300.0,likes,498,comments
https://www.instagram.com/p/CP3y11dhHkp/,31500.0,likes,255,comments
https://www.instagram.com/p/CPvahBmBbK7/,138000.0,likes,1126,comments
https://www.instagram.com/p/CPqvLmqBkLa/,83300.0,likes,661,comments
https://www.instagram.com/p/CPjyrGiB6A7/,40400.0,likes,431,comments
https://www.instagram.com/p/CPRtgnZhNFx/,25600.0,likes,268,comments
https://www.instagram.com/p/CPI8qojBw4c/,18900.0,likes,152,comments
https://www.instagram.com/p/CPB9q6VhraI/,19200.0,likes,172,comments
https://www.instagram.com/p/CO_aqiah3a1/,118000.0,likes,929,comments
https://www.instagram.com/p/CO3CGSch5mp/,35800.0,likes,663,comments
https://www.instagram.com/p/COtSpwvBapf/,28900.0,likes,918,comments
https://www.instagram.com/p/COs2CclB08Y/,27800.0,likes,491,comments
https://www.instagram.com/p/COqKA3dhf6Q/,14200.0,likes,162,comments
